epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.015,0.9837,1.76613,1.2285,0.96238,0.59588,0.64446,0.50454,0.77807,0.90254,1.03918,0.000468772,0.000468772,0.000468772
2,702.946,0.79117,0.77516,1.13163,0.8879,0.83453,0.9213,0.70196,0.77567,0.96385,1.08586,0.000926393,0.000926393,0.000926393
3,1056.84,0.7588,0.67446,1.09392,0.91309,0.86508,0.93742,0.65973,0.81137,0.94845,1.05245,0.00136515,0.00136515,0.00136515
4,1406.01,0.75015,0.62924,1.07503,0.88828,0.89018,0.95038,0.74053,0.68979,0.64787,1.01685,0.00134412,0.00134412,0.00134412
5,1761.5,0.70826,0.57491,1.05323,0.94284,0.92133,0.95983,0.74068,0.69531,0.57234,1.01631,0.00131582,0.00131582,0.00131582
6,2125.12,0.69493,0.55221,1.03793,0.9443,0.9168,0.95466,0.75351,0.66686,0.543,1.00378,0.00128753,0.00128753,0.00128753
7,2476.17,0.68236,0.52688,1.03207,0.92039,0.91884,0.96252,0.76607,0.60104,0.50273,0.97888,0.00125923,0.00125923,0.00125923
8,2816.39,0.66426,0.50122,1.02638,0.94285,0.93459,0.96826,0.79208,0.59387,0.45233,0.97851,0.00123094,0.00123094,0.00123094
9,3168.17,0.65029,0.48171,1.01482,0.94021,0.92509,0.968,0.79616,0.56846,0.43308,0.97406,0.00120265,0.00120265,0.00120265
10,3518.18,0.64322,0.46903,1.00796,0.94892,0.92242,0.96111,0.76023,0.62972,0.46526,1.00268,0.00117435,0.00117435,0.00117435
11,3889.44,0.64082,0.46403,1.00856,0.94406,0.93332,0.96972,0.8011,0.5727,0.423,0.96842,0.00114606,0.00114606,0.00114606
12,4242.86,0.63708,0.45487,1.00674,0.96258,0.93389,0.97359,0.80053,0.58385,0.42521,0.97126,0.00111776,0.00111776,0.00111776
13,4600.08,0.63567,0.44528,1.00317,0.94454,0.9359,0.97047,0.80016,0.58061,0.41153,0.98993,0.00108947,0.00108947,0.00108947
14,4942.93,0.62788,0.43854,1.00011,0.92585,0.94733,0.96966,0.80113,0.57946,0.42014,0.98173,0.00106118,0.00106118,0.00106118
15,5285.58,0.61647,0.42919,0.9982,0.9401,0.92607,0.96737,0.79581,0.62114,0.43512,0.98689,0.00103288,0.00103288,0.00103288
16,5625.8,0.61534,0.42521,0.99863,0.95556,0.94449,0.97204,0.81068,0.57605,0.39289,0.99292,0.00100459,0.00100459,0.00100459
17,5963.11,0.60722,0.41886,0.99095,0.94201,0.94496,0.97172,0.80871,0.58744,0.43105,0.98804,0.000976293,0.000976293,0.000976293
18,6300.35,0.60731,0.41356,0.9951,0.94257,0.94099,0.97063,0.81145,0.56529,0.39306,0.98148,0.000947999,0.000947999,0.000947999
19,6639.82,0.60929,0.41006,0.99163,0.95656,0.9402,0.97442,0.81484,0.56244,0.38039,0.98277,0.000919704,0.000919704,0.000919704
20,7926.52,0.60509,0.4055,0.98888,0.93115,0.94368,0.96892,0.8055,0.56618,0.37026,0.97718,0.00089141,0.00089141,0.00089141
21,8270.14,0.61132,0.40277,0.9901,0.96605,0.92711,0.97201,0.81377,0.56223,0.39506,0.97209,0.000863116,0.000863116,0.000863116
22,10564.3,0.58712,0.39314,0.97987,0.94722,0.93771,0.9746,0.8162,0.54008,0.36792,0.97718,0.000834822,0.000834822,0.000834822
23,12100.1,0.59552,0.39129,0.98684,0.95721,0.93801,0.96962,0.80279,0.54667,0.37312,0.99399,0.000806528,0.000806528,0.000806528
24,12443.7,0.58798,0.38561,0.9826,0.95496,0.94395,0.97483,0.81559,0.54944,0.35855,0.98218,0.000778233,0.000778233,0.000778233
25,13342.3,0.59038,0.38156,0.98203,0.96217,0.943,0.9738,0.81348,0.54599,0.34959,0.98517,0.000749939,0.000749939,0.000749939
26,13704.1,0.59024,0.37746,0.97951,0.95268,0.94564,0.9736,0.82204,0.57225,0.35068,0.99892,0.000721645,0.000721645,0.000721645
27,14049.5,0.57844,0.36642,0.97554,0.94611,0.95642,0.9758,0.82959,0.53425,0.34773,0.97669,0.000693351,0.000693351,0.000693351
28,14397.8,0.57927,0.369,0.97401,0.95446,0.95184,0.97573,0.83222,0.52086,0.32754,0.98653,0.000665057,0.000665057,0.000665057
29,14739,0.56885,0.3652,0.96901,0.95777,0.94654,0.97569,0.82461,0.53759,0.34462,0.97035,0.000636762,0.000636762,0.000636762
30,15081.3,0.57323,0.36285,0.96998,0.95387,0.94937,0.97545,0.82711,0.54508,0.3415,0.97887,0.000608468,0.000608468,0.000608468
31,15423.4,0.57137,0.36106,0.97247,0.9461,0.95476,0.97554,0.83261,0.52384,0.3347,0.97356,0.000580174,0.000580174,0.000580174
32,15767.3,0.57188,0.35837,0.97176,0.94894,0.94936,0.97598,0.82524,0.53397,0.3339,0.98516,0.00055188,0.00055188,0.00055188
33,16110.9,0.56418,0.35215,0.9727,0.95961,0.95078,0.97849,0.83605,0.53585,0.32883,0.98218,0.000523586,0.000523586,0.000523586
34,16456,0.56277,0.35083,0.96505,0.9587,0.9442,0.97628,0.83324,0.52911,0.33085,0.96226,0.000495291,0.000495291,0.000495291
35,16800.7,0.56644,0.34957,0.96878,0.94893,0.94924,0.97727,0.83933,0.52294,0.31682,0.97322,0.000466997,0.000466997,0.000466997
36,17145.5,0.55652,0.34333,0.96552,0.95817,0.94979,0.97911,0.8383,0.52036,0.32015,0.97612,0.000438703,0.000438703,0.000438703
37,17490.6,0.55257,0.34226,0.96501,0.9652,0.93357,0.97709,0.83912,0.51688,0.32163,0.97546,0.000410409,0.000410409,0.000410409
38,17838.2,0.5538,0.34109,0.96073,0.94999,0.96887,0.98164,0.8444,0.50251,0.30637,0.96587,0.000382115,0.000382115,0.000382115
39,18182.8,0.54954,0.33595,0.96059,0.96116,0.95006,0.97983,0.84529,0.50454,0.30905,0.97046,0.00035382,0.00035382,0.00035382
40,18528.4,0.54384,0.33237,0.96006,0.95407,0.95664,0.9781,0.84125,0.50963,0.3083,0.97022,0.000325526,0.000325526,0.000325526
41,18866.1,0.52127,0.31912,0.95864,0.94691,0.95918,0.97754,0.83482,0.51194,0.31384,0.986,0.000297232,0.000297232,0.000297232
42,19205,0.52052,0.31117,0.95402,0.95525,0.95015,0.97876,0.84167,0.51101,0.31019,0.97343,0.000268938,0.000268938,0.000268938
43,19542,0.50507,0.3028,0.94346,0.95443,0.95227,0.97753,0.83994,0.50691,0.30523,0.96967,0.000240644,0.000240644,0.000240644
44,19880.2,0.50266,0.29684,0.94483,0.95386,0.95715,0.97799,0.8453,0.50194,0.30119,0.96565,0.000212349,0.000212349,0.000212349
45,20219.8,0.50252,0.29828,0.94471,0.95051,0.96023,0.97937,0.84682,0.50464,0.29782,0.96488,0.000184055,0.000184055,0.000184055
46,20558.1,0.4969,0.29,0.94283,0.95535,0.95616,0.97948,0.84965,0.4944,0.29466,0.96476,0.000155761,0.000155761,0.000155761
47,20896.9,0.49679,0.29184,0.94665,0.9555,0.95174,0.97701,0.84819,0.49714,0.29488,0.95958,0.000127467,0.000127467,0.000127467
48,21234.6,0.49124,0.28753,0.94013,0.94851,0.9645,0.97984,0.85054,0.50353,0.29399,0.96704,9.91726e-05,9.91726e-05,9.91726e-05
49,21576.6,0.48806,0.28575,0.9352,0.94934,0.95995,0.97979,0.85119,0.49358,0.28855,0.96502,7.08784e-05,7.08784e-05,7.08784e-05
50,21913.9,0.48286,0.28171,0.93537,0.95024,0.95974,0.98002,0.85317,0.49044,0.28635,0.96381,4.25842e-05,4.25842e-05,4.25842e-05
